Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
LOAN,Manhattan Bridge Capital Inc,$4.6402,0.0402,0.874%,53128364.00,United States,,8757,Real Estate,Real Estate Investment Trusts
LOPE,Grand Canyon Education Inc. Common Stock,$136.83,-0.49,-0.357%,4106341641.00,United States,2008,132330,Real Estate,Other Consumer Services
LRN,Stride Inc. Common Stock,$56.00,-0.80,-1.408%,2427283432.00,United States,,505810,Real Estate,Other Consumer Services
LTC,LTC Properties Inc. Common Stock,$31.60,0.07,0.222%,1308609499.00,United States,,253127,Real Estate,Real Estate Investment Trusts
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,$0.4603,-0.0397,-7.94%,6135799.00,China,2020,18167,Real Estate,Other Consumer Services
LXP,LXP Industrial Trust Common Stock (Maryland REIT),$8.26,0.01,0.121%,2417161590.00,United States,,1467896,Real Estate,Real Estate Investment Trusts
MAA,Mid-America Apartment Communities Inc. Common Stock,$122.72,2.94,2.454%,14319890123.00,United States,1994,1836623,Real Estate,Real Estate Investment Trusts
MAC,Macerich Company (The) Common Stock,$10.33,0.38,3.819%,2225579668.00,United States,1994,1781980,Real Estate,Real Estate Investment Trusts
MAYS,J. W. Mays Inc. Common Stock,$44.00,0.00,0.00%,88694320.00,United States,,64,Real Estate,Building operators
MDRR,Medalist Diversified REIT Inc. Common Stock,$5.26,-0.06,-1.128%,11670941.00,United States,2018,4636,Real Estate,Real Estate Investment Trusts
MDRRP,Medalist Diversified REIT Inc. Series A Cumulative Redeemable Preferred Stock,$23.4601,0.0601,0.257%,52053504.00,United States,,1420,Real Estate,Real Estate Investment Trusts
MFA,MFA Financial Inc.,$9.75,0.19,1.987%,993679021.00,United States,,711663,Real Estate,Real Estate Investment Trusts
MITT,AG Mortgage Investment Trust Inc. Common Stock,$5.28,0.12,2.326%,106757619.00,United States,2011,68635,Real Estate,Real Estate Investment Trusts
MOB,Mobilicom Limited American Depositary Shares,$1.25,-0.01,-0.794%,6025000.00,Israel,2022,199236,Real Estate,Real Estate Investment Trusts
MPW,Medical Properties Trust Inc. common stock,$4.24,-0.40,-8.621%,2537216000.00,United States,2005,34916374,Real Estate,Real Estate Investment Trusts
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$69.25,0.00,0.00%,8130643.00,United States,,24,Real Estate,Building operators
NHI,National Health Investors Inc. Common Stock,$50.84,0.55,1.094%,2206956316.00,United States,,109005,Real Estate,Real Estate Investment Trusts
NLY,Annaly Capital Management Inc. Common Stock,$17.01,0.15,0.89%,8506530917.00,United States,,4212191,Real Estate,Real Estate Investment Trusts
